광역시도,경도,위도
강원도,127.731975,37.882691666666666
경기도,127.01168888888887,37.27184444444444
경상남도,128.69416666666666,35.23473611111111
대전광역시,127.38656666666668,36.34711944444445
서울특별시,126.98000833333332,37.56356944444444
전라남도,126.465,34.813044444444444
전라북도,127.11105277777777,35.817275
제주특별자치도,126.50033333333332,33.48569444444445
충청남도,127.42295555555555,36.32387222222223
충청북도,127.49358611111113,36.6325
경상북도,128.60276666666667,35.889605555555555
대구광역시,128.60355277777776,35.868541666666665
부산광역시,129.07695277777776,35.17701944444444
광주광역시,126.85336388888888,35.156975
인천광역시,126.7073527777778,37.453233333333344
울산광역시,129.31368888888892,35.53540833333333
세종특별자치시,127.28906909999999,36.4800121
