광역시도,시군구,경도,위도
강원도,속초시,128.59416666666667,38.204275
강원도,원주시,127.92205555555556,37.339083333333335
강원도,삼척시,129.16748888888887,37.44708611111111
강원도,강릉시,128.87849722222222,37.74913611111111
강원도,철원군,127.31573333333333,38.144055555555546
강원도,춘천시,127.73231111111113,37.87854166666667
경기도,고양시일산동구,126.77705555555555,37.65590833333333
경기도,고양시일산서구,126.75277777777778,37.67248611111111
경기도,광명시,126.86670833333332,37.47575000000001
경기도,시흥시,126.80507777777777,37.37731944444445
경기도,의정부시,127.03584166666668,37.73528888888889
경기도,포천시,127.20241944444444,37.89215555555555
경기도,김포시,126.71777777777778,37.612458333333336
경기도,남양주시,127.21863333333332,37.63317777777778
경기도,안산시상록구,126.84681944444445,37.29851944444445
경기도,부천시,126.766,37.5035917
경기도,양주시,127.04781944444444,37.78245
경기도,용인시처인구,127.20384444444444,37.23147777777777
경기도,파주시,126.78195277777779,37.75708333333333
경기도,화성시,126.83353055555555,37.196816666666656
경기도,연천군,127.07706666666668,38.09336388888889
경기도,평택시,127.11465555555556,36.98943888888889
경기도,수원시권선구,126.974075,37.25473333333333
경기도,수원시장안구,127.01222222222222,37.30101111111111
경기도,고양시덕양구,126.83419722222222,37.63458333333333
경기도,양평군,127.48988611111113,37.48893611111111
경기도,성남시수정구,127.14771944444445,37.44749166666666
경기도,여주시,127.639622222222,37.29535833333333
경기도,동두천시,127.06265277777777,37.90091666666667
경기도,안양시만안구,126.9345,37.38377777777778
경기도,용인시수지구,127.10009722222222,37.319386111111115
경기도,구리시,127.13186388888887,37.591625
경기도,용인시기흥구,127.11678888888888,37.27759722222222
경기도,안양시동안구,126.95335555555555,37.3897
경기도,광주시,127.25778611111113,37.414505555555564
경기도,수원시팔달구,127.03783333333332,37.283102777777785
경기도,오산시,127.07964166666666,37.14691388888889
경기도,성남시중원구,127.13941944444444,37.42766944444444
경기도,하남시,127.21700000000001,37.536497222222216
경기도,이천시,127.44321944444445,37.27543611111111
경기도,안산시단원구,126.81441944444444,37.31672777777778
경기도,성남시분당구,127.12101944444444,37.37996944444445
경기도,군포시,126.9375,37.358658333333345
경기도,의왕시,126.97038888888888,37.34195
경상남도,김해시,128.89166666666665,35.225505555555564
경상남도,진주시,128.11,35.17703333333333
경상남도,창원시 마산회원구,128.579706,35.220932
경상남도,창원시 마산합포구,128.567863,35.196874
경상남도,함양군,127.72741944444445,35.517469444444444
경상남도,창녕군,128.49453333333332,35.541536111111114
경상남도,사천시,128.06677777777782,35.000283333333336
경상남도,창원시 의창구,128.6401544,35.2540033
경상남도,양산시,129.03941111111112,35.33192777777778
경상남도,창원시 성산구,128.7029401,35.1983844
경상남도,거제시,128.62335555555558,34.87735833333333
대전광역시,동구,127.43485277777779,36.324133333333336
대전광역시,유성구,127.35834166666666,36.359366666666666
대전광역시,서구,127.385775,36.35248333333333
대전광역시,대덕구,127.41768611111112,36.34379444444445
대전광역시,중구,127.42311111111113,36.32263055555556
서울특별시,구로구,126.88959722222224,37.49265
서울특별시,금천구,126.90419722222221,37.44910833333333
서울특별시,마포구,126.91053055555555,37.56070555555555
서울특별시,양천구,126.86870833333332,37.514230555555564
서울특별시,영등포구,126.89834166666668,37.52361111111111
서울특별시,은평구,126.93124166666666,37.599969444444454
서울특별시,강서구,126.851675,37.548155555555546
서울특별시,도봉구,127.04952222222221,37.66583333333333
서울특별시,성북구,127.02033333333333,37.586383333333345
서울특별시,강북구,127.02771944444444,37.63695555555555
서울특별시,노원구,127.05838888888887,37.65146111111111
서울특별시,동작구,126.941575,37.50965555555555
서울특별시,서대문구,126.93889722222221,37.57636666666667
서울특별시,관악구,126.95384444444444,37.47538611111111
서울특별시,송파구,127.10793055555555,37.511755555555546
서울특별시,강남구,127.04955555555556,37.514575
서울특별시,서초구,127.03481111111113,37.480786111111115
서울특별시,용산구,126.96752222222223,37.53609444444445
서울특별시,동대문구,127.04214166666668,37.571625
서울특별시,강동구,127.12586388888887,37.527366666666666
서울특별시,중랑구,127.0947777777778,37.60380555555556
서울특별시,중구,126.99964166666666,37.56100277777777
서울특별시,성동구,127.039,37.560611111111115
전라남도,순천시,127.48933055555555,34.947605555555555
전라남도,나주시,126.71286666666668,35.012838888888886
전라남도,여수시,127.66438611111113,34.757311111111115
전라남도,광양시,127.6981777777778,34.937536111111115
전라남도,목포시,126.39441944444445,34.80878888888889
전라북도,전주시완산구,127.12191944444444,35.80918888888888
전라북도,군산시,126.73884444444445,35.96464166666667
전라북도,익산시,126.95985277777778,35.94527499999999
전라북도,김제시,126.88275277777777,35.80057499999999
전라북도,정읍시,126.85811111111109,35.566872222222216
제주특별자치도,서귀포시,126.51255555555555,33.25235
제주특별자치도,제주시,126.53320833333332,33.49631111111111
충청남도,서산시,126.45216388888888,36.78209722222222
충청남도,보령시,126.61488611111109,36.330575
충청남도,천안시동남구,127.15246666666668,36.804125
